NAME|CITY|LAND|Region|Updated
AFINUM Management GmbH|München|GERMANY|Europe|10/08/2015
AFL Mobilien Leasing GmbH|Göppingen|GERMANY|Europe|10/08/2015
Afmo-Arbeitsgemeinschaft freier Molkereiprodukten-Großhändler eG|Frankfurt am Main|GERMANY|Europe|10/08/2015
AFS Financial Service GmbH & Co. KG|Seevetal|GERMANY|Europe|10/08/2015
AFS Interest B.V. Zweigniederlassung Frankfurt|Frankfurt am Main|GERMANY|Europe|10/08/2015
AGA INTERNATIONAL S.A. Niederlassung für Deutschland|Aschheim bei München|GERMANY|Europe|10/08/2015
AGCO Finance GmbH|Langenhagen, Han|GERMANY|Europe|10/08/2015
Agepa Grundstücksverwaltungsgesellschaft mbH & Co. Vermietungs KG|Mainz a Rhein|GERMANY|Europe|10/08/2015
AGEVIS GmbH|Much|GERMANY|Europe|10/08/2015
AGFA FINANCE N.V. - Zweigniederlassung Deutschland|Düsseldorf|GERMANY|Europe|10/08/2015
AGILA Haustierversicherung Aktiengesellschaft|Hannover|GERMANY|Europe|10/08/2015
AGL Activ Services GmbH|Hannover|GERMANY|Europe|10/08/2015
Agrarfairbund GmbH & Co. KGaA|Berlin|GERMANY|Europe|10/08/2015
Agricultural Bank of China Limited Frankfurt Branch|Frankfurt am Main|GERMANY|Europe|10/08/2015
Agriworld GmbH|Hamburg|GERMANY|Europe|10/08/2015
AGw Allgemeine Geldwechsel Förster GmbH Wechselstube am Steindamm|Hamburg|GERMANY|Europe|10/08/2015
Aheim Capital GmbH|Starnberg|GERMANY|Europe|10/08/2015
AHP Capital Management GmbH|Dreieich|GERMANY|Europe|10/08/2015
AHR Vermögensverwaltung GmbH|Wuppertal|GERMANY|Europe|10/08/2015
AIF Komplementär GmbH|München|GERMANY|Europe|10/08/2015
AIG Europe Limited Direktion für Deutschland|Frankfurt am Main|GERMANY|Europe|10/08/2015
aik Immobilien-Kapitalanlagegesellschaft mbH|Düsseldorf|GERMANY|Europe|10/08/2015
AIL Leasing München AG|Grünwald, Kr München|GERMANY|Europe|10/08/2015
Aioi Nissay Dowa Insurance Company of Europe Limited, Niederlassung Deutschland|Ismaning|GERMANY|Europe|10/08/2015
Aioi Nissay Dowa Life Insurance of Europe Aktiengesellschaft|Ismaning|GERMANY|Europe|10/08/2015
Airbus Group Bank GmbH|München|GERMANY|Europe|10/08/2015
AKA Ausfuhrkredit-Gesellschaft mit beschränkter Haftung|Frankfurt am Main|GERMANY|Europe|10/08/2015
AKBANK AG|Frankfurt am Main|GERMANY|Europe|10/08/2015
akf bank GmbH & Co KG|Wuppertal|GERMANY|Europe|10/08/2015
akf leasing GmbH & Co KG|Wuppertal|GERMANY|Europe|10/08/2015
akf servicelease GmbH|Wuppertal|GERMANY|Europe|10/08/2015
Akos GmbH|Geisenheim, Rheingau|GERMANY|Europe|10/08/2015
AKTIEN - FONDS - VERMÖGENSVERWALTUNG Dipl.-Kaufm. Richter e.Kfm.|Dresden|GERMANY|Europe|10/08/2015
Aktivbank Aktiengesellschaft|Pforzheim|GERMANY|Europe|10/08/2015
AL Konzept Gesellschaft für Leasingfinanzierungen mbH|Grünwald, Kr München|GERMANY|Europe|10/08/2015
ALBIS Direct Leasing GmbH|Hamburg|GERMANY|Europe|10/08/2015
ALBIS Fullservice Leasing GmbH|Hamburg|GERMANY|Europe|10/08/2015
ALBIS HiTec Leasing AG|Hamburg|GERMANY|Europe|10/08/2015
ALBIS Mobil Lease GmbH|Neu-Isenburg|GERMANY|Europe|10/08/2015
Albrech & Cie. Vermögensverwaltung Aktiengesellschaft|Köln|GERMANY|Europe|10/08/2015
Albrecht, Kitta & Co. Vermögensverwaltung GmbH|Hamburg|GERMANY|Europe|10/08/2015
Alcatel-Lucent Finanz Beteiligungs- und Anlagegesellschaft mbH|Stuttgart|GERMANY|Europe|10/08/2015
Alceda Asset Management GmbH|Hamburg|GERMANY|Europe|10/08/2015
Alcedo Capital GmbH & Co. KG|Immendingen|GERMANY|Europe|10/08/2015
Alcentra Limited Zweigniederlassung Düsseldorf|Düsseldorf|GERMANY|Europe|10/08/2015
ALD AutoLeasing D GmbH|Hamburg|GERMANY|Europe|10/08/2015
ALD Lease Finanz GmbH|Hamburg|GERMANY|Europe|10/08/2015
Aldi Einkauf GmbH & Co oHG|Mülheim an der Ruhr|GERMANY|Europe|10/08/2015
Aleksandra Tomaszewska - Wechselstube/Kantor Wymiany Walut OLMAR KG|Görlitz, Neiße|GERMANY|Europe|10/08/2015
Alfons Tungl-Sontag|Remseck am Neckar|GERMANY|Europe|10/08/2015
ALG Automobil Leasing Gesellschaft mbH & Co. KG|Bonn|GERMANY|Europe|10/08/2015
Algopool InvAG|Köln|GERMANY|Europe|10/08/2015
Allcura Versicherungs-Aktiengesellschaft|Hamburg|GERMANY|Europe|10/08/2015
Allgemeine Rentenanstalt Pensionskasse AG|Stuttgart|GERMANY|Europe|10/08/2015
Allgemeine Sterbekasse Oberhausen/Duisburg (ehem. Sterbekasse der Belegschaft Thyssen Stahl AG)|Oberhausen|GERMANY|Europe|10/08/2015
Allgäuer Volksbank eG Kempten-Sonthofen|Kempten (Allgäu)|GERMANY|Europe|10/08/2015
Allianz Global Corporate & Specialty SE|München|GERMANY|Europe|10/08/2015
Allianz Global Investors GmbH|Frankfurt am Main|GERMANY|Europe|10/08/2015
Allianz Global Investors Investmentaktiengesellschaft mit Teilgesellschaftsvermögen|Frankfurt am Main|GERMANY|Europe|10/08/2015
Allianz Global Life Limited (Niederlassung Deutschland)|Stuttgart|GERMANY|Europe|10/08/2015
Allianz Lebensversicherungs-Aktiengesellschaft|Stuttgart|GERMANY|Europe|10/08/2015
Allianz Pensionsfonds Aktiengesellschaft|Stuttgart|GERMANY|Europe|10/08/2015
Allianz Pensionskasse Aktiengesellschaft|Stuttgart|GERMANY|Europe|10/08/2015
