Country|country rank|World Rank|Bank|Tier One Capital $m|Assets $m|UPDATED
Saudi Arabia|||Abdul Latif Jameel Co. Ltd. (UIS)|||22/07/2015
Saudi Arabia|||Al Bank Al Saudi Al Fransi|||22/07/2015
Saudi Arabia|||Alinma Bank|||22/07/2015
Saudi Arabia|||Arab National Bank|||22/07/2015
Saudi Arabia|||"Bank Albilad | BAB"|||22/07/2015
Saudi Arabia|||Bank Aljazira|||22/07/2015
Saudi Arabia|||Banque Saudi Fransi|||22/07/2015
Saudi Arabia|||Riyad Bank|||22/07/2015
Saudi Arabia|||Saudi British Bank (Sabb)|||22/07/2015
Saudi Arabia|||Saudi Credit & Savings Bank|||22/07/2015
UAE|||Abu Dhabi Commercial Bank ADCB|||22/07/2015
UAE|||Ajman Bank|||22/07/2015
UAE|||Al Hilal Bank|||22/07/2015
UAE|||Al Masraf Bank|||22/07/2015
UAE|||Commercial Bank of Dubai|||22/07/2015
UAE|||Dubai Islamic Bank|||22/07/2015
UAE|||Mashreq Bank|||22/07/2015
UAE|||National Bank of Fujairah|||22/07/2015
UAE|||National Bank of Umm Al Qaiwain|||22/07/2015
UAE|||Rakbank (National Bank of Ras Al Khaimah)|||22/07/2015
UAE|||Raqmiyat|||22/07/2015
UAE|||Sharjah Islamic Bank|||22/07/2015
UAE|||Abu Dhabi Islamic Bank|||22/07/2015
UAE|||National Bank of Kuwait|||22/07/2015
||||||
