UTIL.LOG.EVENT|EVENT|DATE|TIME|USER|MSG|ID|CMD|URI|RETCD|SUBR|TTY|USERNO|PATH|WHO|SENTENCE|HOST|IP|PLATFORM|START|STOP|ELAPSED|PROCESS|FILE|THREAD|CREATE.DATE|ID
20210201-090058458-9d68dc09a8224|EXECUTE|20210201|09:00:58.00682|root|FORMAT SIENA.BP SIENA.GEN.TXN.DATA|20210201-090058458-9d68dc09a8224|FORMAT SIENA.BP SIENA.GEN.TXN.DATA||0|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC SIENA.BP SIENA.GEN.TXN.DATA|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-090058458-9d68dc09a8224
20210201-090101461-321a89ac07914|BEGIN|20210201|09:01:01.00685|root|SIENA.GEN.TXNS|20210201-090101461-321a89ac07914|SIENA.GEN.TXNS|||U_START|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|SIENA.GEN.TXNS SPOT|mercury.local|192.168.0.100|Mac||||U_START||SIENA.GEN.TXNS|20210201|20210201-090101461-321a89ac07914
20210201-090101461-ac79e66a45184|BEGIN|20210201|09:01:01.00686|root|SIENA.CACHE.FETCH|20210201-090101461-ac79e66a45184|SIENA.CACHE.FETCH|||U_START|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|SIENA.GEN.TXNS SPOT|mercury.local|192.168.0.100|Mac||||U_START||SIENA.GEN.TXN.DATA-SPOT|20210201|20210201-090101461-ac79e66a45184
20210201-090102462-703888dd98a74|EXECUTE|20210201|09:01:02.00687|root|"SELECT SIENA.CACHE WITH 1 = ""FX.1M.EURUSD.O"" SAMPLE 10 SAVING UNIQUE 3 TO 2"|20210201-090102462-703888dd98a74|"SELECT SIENA.CACHE WITH 1 = ""FX.1M.EURUSD.O"" SAMPLE 10 SAVING UNIQUE 3 TO 2"||1|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|SIENA.GEN.TXNS SPOT|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||SIENA.GEN.TXN.DATA-SPOT|20210201|20210201-090102462-703888dd98a74
20210201-090102462-bd0e41537ba64|TIMING|20210201|09:01:02.00688|root|SIENA.CACHE.FETCH|20210201-090102462-bd0e41537ba64|SIENA.CACHE.FETCH|||U_STOP|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|SIENA.GEN.TXNS SPOT|mercury.local|192.168.0.100|Mac|09.01.01|09.01.02|00.00.01|U_STOP||SIENA.GEN.TXN.DATA-SPOT|20210201|20210201-090102462-bd0e41537ba64
20210201-092735055-21ae2ce0dc284|EXECUTE|20210201|09:27:35.00690|root|FORMAT UTIL.BP U_TEST|20210201-092735055-21ae2ce0dc284|FORMAT UTIL.BP U_TEST||0|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_TEST|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-092735055-21ae2ce0dc284
20210201-092735055-9d1a689a0ef74|EXECUTE|20210201|09:27:35.00691|root|BASIC UTIL.BP U_TEST|20210201-092735055-9d1a689a0ef74|BASIC UTIL.BP U_TEST||1|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_TEST|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-092735055-9d1a689a0ef74
20210201-092735055-a30186ee77a54|BEGIN|20210201|09:27:35.00689|root|BCC|20210201-092735055-a30186ee77a54|BCC|||U_START|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_TEST|mercury.local|192.168.0.100|Mac||||U_START||BCC|20210201|20210201-092735055-a30186ee77a54
20210201-092735055-c8c9ac52efca4|EXECUTE|20210201|09:27:35.00692|root|CATALOG UTIL.BP U_TEST|20210201-092735055-c8c9ac52efca4|CATALOG UTIL.BP U_TEST||0|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_TEST|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-092735055-c8c9ac52efca4
20210201-092744064-0860914e48ec4|BEGIN|20210201|09:27:44.00693|root|BCC|20210201-092744064-0860914e48ec4|BCC|||U_START|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATA.ADD|mercury.local|192.168.0.100|Mac||||U_START||BCC|20210201|20210201-092744064-0860914e48ec4
20210201-092753073-185e339caef64|EXECUTE|20210201|09:27:53.00696|root|BASIC UTIL.BP U_DATE.ADD|20210201-092753073-185e339caef64|BASIC UTIL.BP U_DATE.ADD||0|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-092753073-185e339caef64
20210201-092753073-d5f15ba9fd944|EXECUTE|20210201|09:27:53.00695|root|FORMAT UTIL.BP U_DATE.ADD|20210201-092753073-d5f15ba9fd944|FORMAT UTIL.BP U_DATE.ADD||0|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-092753073-d5f15ba9fd944
20210201-092753073-efbf6275081c4|EXECUTE|20210201|09:27:53.00697|root|CATALOG UTIL.BP U_DATE.ADD|20210201-092753073-efbf6275081c4|CATALOG UTIL.BP U_DATE.ADD||0|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-092753073-efbf6275081c4
20210201-092753073-effa9efdc32c4|BEGIN|20210201|09:27:53.00694|root|BCC|20210201-092753073-effa9efdc32c4|BCC|||U_START|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_START||BCC|20210201|20210201-092753073-effa9efdc32c4
20210201-092813093-06ce5fb358404|EXECUTE|20210201|09:28:13.00699|root|FORMAT UTIL.BP U_DATE.ADD|20210201-092813093-06ce5fb358404|FORMAT UTIL.BP U_DATE.ADD||0|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-092813093-06ce5fb358404
20210201-092813093-77ffe63795894|EXECUTE|20210201|09:28:13.00701|root|CATALOG UTIL.BP U_DATE.ADD|20210201-092813093-77ffe63795894|CATALOG UTIL.BP U_DATE.ADD||0|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-092813093-77ffe63795894
20210201-092813093-86c7291965344|BEGIN|20210201|09:28:13.00698|root|BCC|20210201-092813093-86c7291965344|BCC|||U_START|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_START||BCC|20210201|20210201-092813093-86c7291965344
20210201-092813093-9a5d25c8ddcd4|EXECUTE|20210201|09:28:13.00700|root|BASIC UTIL.BP U_DATE.ADD|20210201-092813093-9a5d25c8ddcd4|BASIC UTIL.BP U_DATE.ADD||0|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-092813093-9a5d25c8ddcd4
20210201-092823103-76dbca3a63834|EXECUTE|20210201|09:28:23.00703|root|FORMAT UTIL.BP U_DATE.ADD|20210201-092823103-76dbca3a63834|FORMAT UTIL.BP U_DATE.ADD||0|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-092823103-76dbca3a63834
20210201-092823103-7f835b1f08cd4|BEGIN|20210201|09:28:23.00702|root|BCC|20210201-092823103-7f835b1f08cd4|BCC|||U_START|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_START||BCC|20210201|20210201-092823103-7f835b1f08cd4
20210201-092824104-0f11a15709984|EXECUTE|20210201|09:28:24.00705|root|CATALOG UTIL.BP U_DATE.ADD|20210201-092824104-0f11a15709984|CATALOG UTIL.BP U_DATE.ADD||0|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-092824104-0f11a15709984
20210201-092824104-5017a59a1dea4|EXECUTE|20210201|09:28:24.00704|root|BASIC UTIL.BP U_DATE.ADD|20210201-092824104-5017a59a1dea4|BASIC UTIL.BP U_DATE.ADD||0|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-092824104-5017a59a1dea4
20210201-092858138-e6af823246e14|BEGIN|20210201|09:28:58.00706|root|BCC|20210201-092858138-e6af823246e14|BCC|||U_START|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_START||BCC|20210201|20210201-092858138-e6af823246e14
20210201-092859139-683ffa6e653a4|EXECUTE|20210201|09:28:59.00709|root|CATALOG UTIL.BP U_DATE.ADD|20210201-092859139-683ffa6e653a4|CATALOG UTIL.BP U_DATE.ADD||0|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-092859139-683ffa6e653a4
20210201-092859139-96c13f39f3164|EXECUTE|20210201|09:28:59.00707|root|FORMAT UTIL.BP U_DATE.ADD|20210201-092859139-96c13f39f3164|FORMAT UTIL.BP U_DATE.ADD||0|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-092859139-96c13f39f3164
20210201-092859139-d0eb82d6db514|EXECUTE|20210201|09:28:59.00708|root|BASIC UTIL.BP U_DATE.ADD|20210201-092859139-d0eb82d6db514|BASIC UTIL.BP U_DATE.ADD||1|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-092859139-d0eb82d6db514
