Name,Location,Federal state,Organisation,Branches,Categ,Country,,,
VR-Bank Fläming eG,Luckenwalde,Brandenburg,GV,17,German Coop,Germany,,,
VR-Bank Bad Hersfeld-Rotenburg eG,Bad Hersfeld,Hesse,GV,17,German Coop,Germany,,,
Raiffeisenbank Baunatal eG,Baunatal,Hesse,GV,17,German Coop,Germany,,,
Emsländische Volksbank eG,Meppen,Lower Saxony,GVWE,17,German Coop,Germany,,,
Volksbank Stade-Cuxhaven eG,Stade,Lower Saxony,GV,17,German Coop,Germany,,,
Volksbank Sulingen eG,Sulingen,Lower Saxony,GV,17,German Coop,Germany,,,
Volksbank Uelzen-Salzwedel eG,Uelzen,Lower Saxony,GV,17,German Coop,Germany,,,
Volksbank Bad Salzuflen eG,Bad Salzuflen,North Rhine-Westphalia,RWGV,17,German Coop,Germany,,,
Volksbank Erft eG,Elsdorf,North Rhine-Westphalia,RWGV,17,German Coop,Germany,,,
Volksbank Remscheid-Solingen eG,Remscheid,North Rhine-Westphalia,RWGV,17,German Coop,Germany,,,
VR-Bank Südwestpfalz eG,Zweibrücken,Rhineland-Palatinate,GV,17,German Coop,Germany,,,
Volksbank Saarpfalz eG,Homburg,Saarland,GV,17,German Coop,Germany,,,
Vereinigte Volksbank Wernigerode eG,Wernigerode,Saxony-Anhalt,GV,17,German Coop,Germany,,,
Volksbank-Raiffeisenbank Husum-Eiderstedt-Viöl eG,Husum,Schleswig-Holstein,GV,17,German Coop,Germany,,,
Volksbank-Raiffeisenbank im Kreis Rendsburg eG,Osterrönfeld,Schleswig-Holstein,GV,17,German Coop,Germany,,,
Volksbank Balingen eG,Balingen,Baden-Württemberg,BWGV,16,German Coop,Germany,,,
VR-Bank Stromberg-Neckar eG,Bönnigheim,Baden-Württemberg,BWGV,16,German Coop,Germany,,,
Volksbank Horb-Freudenstadt eG,Freudenstadt,Baden-Württemberg,BWGV,16,German Coop,Germany,,,
Volksbank Nagoldtal eG,Nagold,Baden-Württemberg,BWGV,16,German Coop,Germany,,,
Volksbank Hochrhein eG,Waldshut-Tiengen,Baden-Württemberg,BWGV,16,German Coop,Germany,,,
Raiffeisen-Volksbank Haßberge eG,Haßfurt,Bavaria,GVB,16,German Coop,Germany,,,
Raiffeisenbank Hersbruck eG,Hersbruck,Bavaria,GVB,16,German Coop,Germany,,,
Raiffeisenbank Kempten eG,Kempten,Bavaria,GVB,16,German Coop,Germany,,,
VR Bank Kitzingen eG,Kitzingen,Bavaria,GVB,16,German Coop,Germany,,,
Kulmbacher Bank eG Raiffeisen-Volksbank,Kulmbach,Bavaria,GVB,16,German Coop,Germany,,,
VR-Bank Fichtelgebirge eG,Marktredwitz,Bavaria,GVB,16,German Coop,Germany,,,
VR-Bank eG Regen,Regen,Bavaria,GVB,16,German Coop,Germany,,,
Volksbank Nordoberpfalz eG,Weiden in der Oberpfalz,Bavaria,GVB,16,German Coop,Germany,,,
Raiffeisenbank Augsburger Land West eG,Zusmarshausen,Bavaria,GVB,16,German Coop,Germany,,,
Volksbank Uckermark eG,Prenzlau,Brandenburg,GV,16,German Coop,Germany,,,
Volksbank Büdingen eG,Büdingen,Hesse,GV,16,German Coop,Germany,,,
VR-Bank Werra-Meißner eG,Hessisch Lichtenau,Hesse,GV,16,German Coop,Germany,,,
Vereinigte Volksbank Limburg eG,Limburg,Hesse,GV,16,German Coop,Germany,,,
Volks- und Raiffeisenbank Güstrow eG,Güstrow,Mecklenburg-Vorpommern,GV,16,German Coop,Germany,,,
Volksbank Nordharz eG,Goslar,Lower Saxony,GV,16,German Coop,Germany,,,
Volksbank Osnabrück eG,Osnabrück,Lower Saxony,GVWE,16,German Coop,Germany,,,
Raiffeisen-Volksbank Varel-Nordenham eG,Varel,Lower Saxony,GVWE,16,German Coop,Germany,,,
Volksbank Hamm eG,Hamm,North Rhine-Westphalia,RWGV,16,German Coop,Germany,,,
Volksbank im Märkischen Kreis eG,Werdohl,North Rhine-Westphalia,RWGV,16,German Coop,Germany,,,
St. Wendeler Volksbank eG,St. Wendel,Saarland,GV,16,German Coop,Germany,,,
Volksbank Erzgebirge eG,Annaberg-Buchholz,Saxony,GV,16,German Coop,Germany,,,
Volksbank Raiffeisenbank Meißen Großenhain eG,Meißen,Saxony,GV,16,German Coop,Germany,,,
Volksbank Löbau-Zittau eG,Neugersdorf,Saxony,GV,16,German Coop,Germany,,,
Raiffeisenbank Donau-Iller eG,Erbach,Baden-Württemberg,BWGV,15,German Coop,Germany,,,
Heidelberger Volksbank eG,Heidelberg,Baden-Württemberg,BWGV,15,German Coop,Germany,,,
Volksbank Laupheim eG,Laupheim,Baden-Württemberg,BWGV,15,German Coop,Germany,,,
Raiffeisenbank Risstal eG,Warthausen,Baden-Württemberg,BWGV,15,German Coop,Germany,,,
Raiffeisenbank Burgau eG,Burgau,Bavaria,GVB,15,German Coop,Germany,,,
Rottaler Volksbank-Raiffeisenbank eG,Eggenfelden,Bavaria,GVB,15,German Coop,Germany,,,
Raiffeisenbank Karlstadt-Gemünden eG,Karlstadt,Bavaria,GVB,15,German Coop,Germany,,,
Raiffeisenbank Obernburg eG,Obernburg,Bavaria,GVB,15,German Coop,Germany,,,
Raiffeisenbank Roth-Schwabach eG,Roth,Bavaria,GVB,15,German Coop,Germany,,,
Raiffeisenbank im Stiftland eG,Waldsassen,Bavaria,GVB,15,German Coop,Germany,,,
Volks- und Raiffeisenbank Prignitz eG,Perleberg,Brandenburg,GV,15,German Coop,Germany,,,
Grafschafter Volksbank eG,Nordhorn,Lower Saxony,GVWE,15,German Coop,Germany,,,
Volksbank Euskirchen eG,Euskirchen,North Rhine-Westphalia,RWGV,15,German Coop,Germany,,,
Raiffeisenbank Grevenbroich eG,Grevenbroich,North Rhine-Westphalia,RWGV,15,German Coop,Germany,,,
Bank für Sozialwirtschaft AG,Köln,North Rhine-Westphalia,RWGV,15,German Coop,Germany,,,
VR-Bank Nordeifel eG,Schleiden,North Rhine-Westphalia,RWGV,15,German Coop,Germany,,,
Volksbank Waltrop eG,Waltrop,North Rhine-Westphalia,RWGV,15,German Coop,Germany,,,
Volksbank Hunsrück eG,Simmern,Rhineland-Palatinate,RWGV,15,German Coop,Germany,,,
Volksbank Mittleres Erzgebirge eG,Olbernhau,Saxony,GV,15,German Coop,Germany,,,
Volksbank Vogtland eG,Plauen,Saxony,GV,15,German Coop,Germany,,,
Volksbank Riesa eG,Riesa,Saxony,GV,15,German Coop,Germany,,,
Volks- und Raiffeisenbank Saale-Unstrut eG,Merseburg,Saxony-Anhalt,GV,15,German Coop,Germany,,,
Volksbank Börde-Bernburg eG,Wanzleben,Saxony-Anhalt,GV,15,German Coop,Germany,,,
Dithmarscher Volks- und Raiffeisenbank eG,Heide,Schleswig-Holstein,GV,15,German Coop,Germany,,,
VR Bank Weimar eG,Weimar,Thuringia,GV,15,German Coop,Germany,,,
Volksbank Rhein-Wehra eG,Bad Säckingen,Baden-Württemberg,BWGV,14,German Coop,Germany,,,
Leutkircher Bank Raiff.- u. Volksbank eG,Leutkirch,Baden-Württemberg,BWGV,14,German Coop,Germany,,,
Volksbank Möckmühl-Neuenstadt eG,Möckmühl,Baden-Württemberg,BWGV,14,German Coop,Germany,,,
Volksbank Wilferdingen-Keltern eG,Remchingen,Baden-Württemberg,BWGV,14,German Coop,Germany,,,
Volksbank Tettnang eG,Tettnang,Baden-Württemberg,BWGV,14,German Coop,Germany,,,
Volksbank Schwarzbachtal eG,Waibstadt,Baden-Württemberg,BWGV,14,German Coop,Germany,,,
Handels- und Gewerbebank Augsburg eG,Augsburg,Bavaria,GVB,14,German Coop,Germany,,,
VR-Bank Landau eG,Landau an der Isar,Bavaria,GVB,14,German Coop,Germany,,,
Raiffeisen-Volksbank Lichtenfels-Itzgrund eG,Lichtenfels,Bavaria,GVB,14,German Coop,Germany,,,
Raiffeisenbank im Oberland eG,Miesbach,Bavaria,GVB,14,German Coop,Germany,,,
Volksbank Neu-Ulm eG,Neu-Ulm,Bavaria,GVB,14,German Coop,Germany,,,
VR-Bank Passau eG,Passau,Bavaria,GVB,14,German Coop,Germany,,,
Raiffeisenbank Pfaffenwinkel eG,Peiting,Bavaria,GVB,14,German Coop,Germany,,,
Raiffeisenbank Trostberg-Traunreut eG,Traunreut,Bavaria,GVB,14,German Coop,Germany,,,
Raiffeisenbank Vilshofener Land eG,Vilshofen,Bavaria,GVB,14,German Coop,Germany,,,
Raiffeisenbank Volkach-Wiesentheid eG,Volkach,Bavaria,GVB,14,German Coop,Germany,,,
Raiffeisenbank Weilheim eG,Weilheim in Oberbayern,Bavaria,GVB,14,German Coop,Germany,,,
VR-Bank Neu-Ulm / Weißenhorn eG,Weißenhorn,Bavaria,GVB,14,German Coop,Germany,,,
Frankenberger Bank eG,Frankenberg (Eder),Hesse,GV,14,German Coop,Germany,,,
Raiffeisenbank Wolfhagen eG,Wolfhagen,Hesse,GV,14,German Coop,Germany,,,
VR-Bank Schwerin eG,Schwerin,Mecklenburg-Vorpommern,GV,14,German Coop,Germany,,,
Volksbank Peine eG,Peine,Lower Saxony,GV,14,German Coop,Germany,,,
Volksbank Dortmund-Nordwest eG,Dortmund,North Rhine-Westphalia,RWGV,14,German Coop,Germany,,,
Volksbank Düren eG,Düren,North Rhine-Westphalia,RWGV,14,German Coop,Germany,,,
Raiffeisenbank Erkelenz eG,Erkelenz,North Rhine-Westphalia,RWGV,14,German Coop,Germany,,,
Volksbank Kleverland eG,Kleve,North Rhine-Westphalia,RWGV,14,German Coop,Germany,,,
Volksbank Krefeld eG,Krefeld,North Rhine-Westphalia,RWGV,14,German Coop,Germany,,,
Volksbank Warburger Land eG,Warburg,North Rhine-Westphalia,RWGV,14,German Coop,Germany,,,
VR-Bank Hunsrück-Mosel eG,Morbach,Rhineland-Palatinate,RWGV,14,German Coop,Germany,,,
Volksbank Saarlouis eG,Saarlouis,Saarland,GV,14,German Coop,Germany,,,
Ostharzer Volksbank eG,Quedlinburg,Saxony-Anhalt,GV,14,German Coop,Germany,,,
Volksbank Stormarn eG,Bad Oldesloe,Schleswig-Holstein,GV,14,German Coop,Germany,,,
VR-Bank in Mittelbaden eG,Iffezheim,Baden-Württemberg,BWGV,13,German Coop,Germany,,,
Volksbank Meßkirch eG Raiffeisenbank,Meßkirch,Baden-Württemberg,BWGV,13,German Coop,Germany,,,
"VR-Bank, Raiffeisen-Volksbank im Lkr. Garmisch-Partenkirchen eG",Garmisch-Partenkirchen,Bavaria,GVB,13,German Coop,Germany,,,
Raiffeisenbank Hammelburg eG,Hammelburg,Bavaria,GVB,13,German Coop,Germany,,,
Raiffeisenbank Kemnather Land - Steinwald eG,Kemnath,Bavaria,GVB,13,German Coop,Germany,,,
Raiffeisenbank Marktheidenfeld eG,Marktheidenfeld,Bavaria,GVB,13,German Coop,Germany,,,
Raiffeisenbank Ochsenfurt eG,Ochsenfurt,Bavaria,GVB,13,German Coop,Germany,,,
Raiffeisenbank Schwandorf-Nittenau eG,Schwandorf,Bavaria,GVB,13,German Coop,Germany,,,
Raiffeisenbank Sulzbach-Rosenberg eG,Sulzbach-Rosenberg,Bavaria,GVB,13,German Coop,Germany,,,
VR-Bank Taufkirchen-Dorfen eG,Taufkirchen (Vils),Bavaria,GVB,13,German Coop,Germany,,,
Volks- und Raiffeisenbank Fürstenwalde Seelow Wriezen eG,Fürstenwalde,Brandenburg,GV,13,German Coop,Germany,,,
Volksbank Bremen-Nord eG,Bremen,Bremen,GV,13,German Coop,Germany,,,
Evangelische Kreditgenossenschaft eG,Kassel,Hesse,GV,13,German Coop,Germany,,,
Volksbank Einbeck eG,Einbeck,Lower Saxony,GV,13,German Coop,Germany,,,
Volksbank Solling eG,Hardegsen,Lower Saxony,GV,13,German Coop,Germany,,,
Volksbank Lingen eG,Lingen (Ems),Lower Saxony,GVWE,13,German Coop,Germany,,,
Raiffeisenbank Moormerland eG,Moormerland,Lower Saxony,GVWE,13,German Coop,Germany,,,
Volksbank im Harz eG,Osterode,Lower Saxony,GV,13,German Coop,Germany,,,
Raiffeisenbank Rosdorf eG,Rosdorf,Lower Saxony,GV,13,German Coop,Germany,,,
Volksbank Wittingen-Klötze eG,Wittingen,Lower Saxony,GV,13,German Coop,Germany,,,
Volksbank Bocholt eG,Bocholt,North Rhine-Westphalia,RWGV,13,German Coop,Germany,,,
Geno Bank Essen eG,Essen,North Rhine-Westphalia,RWGV,13,German Coop,Germany,,,
Raiffeisenbank Rhein-Berg eG,Monheim am Rhein,North Rhine-Westphalia,RWGV,13,German Coop,Germany,,,
Raiffeisenbank Rheinbach Voreifel eG,Rheinbach,North Rhine-Westphalia,RWGV,13,German Coop,Germany,,,
VR Bank Mittelhaardt eG,Bad Dürkheim,Rhineland-Palatinate,GV,13,German Coop,Germany,,,
levo Bank Vereinte Volksbanken Lebach Eppelborn eG,Lebach,Saarland,GV,13,German Coop,Germany,,,
Volksbank Saar-West eG,Saarlouis,Saarland,GV,13,German Coop,Germany,,,
Raiffeisenbank Bad Bramstedt eG,Bad Bramstedt,Schleswig-Holstein,GV,13,German Coop,Germany,,,
VR-Bank Niebüll eG,Niebüll,Schleswig-Holstein,GV,13,German Coop,Germany,,,
Raiffeisen-Volksbank Saale-Orla eG,Pößneck,Thuringia,GV,13,German Coop,Germany,,,
VR-Bank Südthüringen eG,Suhl,Thuringia,GV,13,German Coop,Germany,,,
Volksbank Dornstetten eG,Dornstetten,Baden-Württemberg,BWGV,12,German Coop,Germany,,,
VR-Bank Ellwangen eG,Ellwangen,Baden-Württemberg,BWGV,12,German Coop,Germany,,,
Raiffeisenbank Schrozberg-Rot am See eG,Schrozberg,Baden-Württemberg,BWGV,12,German Coop,Germany,,,
Raiffeisenbank Bad Abbach-Saal eG,Bad Abbach,Bavaria,GVB,12,German Coop,Germany,,,
Raiffeisenbank Bad Windsheim eG,Bad Windsheim,Bavaria,GVB,12,German Coop,Germany,,,
VR-Bank Feuchtwangen-Limes eG,Feuchtwangen,Bavaria,GVB,12,German Coop,Germany,,,
Raiffeisen-Volksbank Fürth eG,Fürth,Bavaria,GVB,12,German Coop,Germany,,,
VR-Bank Gerolzhofen eG,Gerolzhofen,Bavaria,GVB,12,German Coop,Germany,,,
Raiffeisenbank Westallgäu eG,Gestratz,Bavaria,GVB,12,German Coop,Germany,,,
Volksbank Günzburg eG,Günzburg,Bavaria,GVB,12,German Coop,Germany,,,
Raiffeisenbank Höchberg eG,Höchberg,Bavaria,GVB,12,German Coop,Germany,,,
RAIFFEISEN - Spar + Kreditbank eG Lauf a.d.P.,Lauf an der Pegnitz,Bavaria,GVB,12,German Coop,Germany,,,
Münchener Hypothekenbank eG,München,Bavaria,GVB,12,German Coop,Germany,,,
Raiffeisenbank Bad Gögging eG,Neustadt an der Donau,Bavaria,GVB,12,German Coop,Germany,,,
Raiffeisenbank Kitzinger Land eG,Obernbreit,Bavaria,GVB,12,German Coop,Germany,,,
Rottaler Raiffeisenbank eG,Pocking,Bavaria,GVB,12,German Coop,Germany,,,
Raiffeisenbank Regensburg-Wenzenbach eG,Regensburg,Bavaria,GVB,12,German Coop,Germany,,,
LIGA Bank eG,Regensburg,Bavaria,GVB,12,German Coop,Germany,,,
VR-Bank Rothenburg ob der Tauber eG,Rothenburg ob der Tauber,Bavaria,GVB,12,German Coop,Germany,,,
Raiffeisenbank München-Nord eG,Unterschleißheim,Bavaria,GVB,12,German Coop,Germany,,,
VR-Bank Vilsbiburg eG,Vilsbiburg,Bavaria,GVB,12,German Coop,Germany,,,
Raiffeisenbank Isar-Loisachtal eG,Wolfratshausen,Bavaria,GVB,12,German Coop,Germany,,,
Raiffeisenbank Großenlüder eG,Großenlüder,Hesse,GV,12,German Coop,Germany,,,
Raiffeisenbank Werratal-Landeck eG,Heringen (Werra),Hesse,GV,12,German Coop,Germany,,,
Volksbank Heuchelheim eG,Heuchelheim,Hesse,GV,12,German Coop,Germany,,,
Raiffeisenbank Ronshausen-Marksuhl eG,Ronshausen,Hesse,GV,12,German Coop,Germany,,,
"Volksbank Geest eG, Harsefeld",Apensen,Lower Saxony,GV,12,German Coop,Germany,,,
Volksbank Weserbergland eG,Holzminden,Lower Saxony,GV,12,German Coop,Germany,,,
Volksbank Grafschaft Hoya eG,Hoya,Lower Saxony,GV,12,German Coop,Germany,,,
Volksbank Sottrum eG,Sottrum,Lower Saxony,GV,12,German Coop,Germany,,,
Volksbank Süd-Emsland eG,Spelle,Lower Saxony,GVWE,12,German Coop,Germany,,,
Volksbank Steyerberg eG,Steyerberg,Lower Saxony,GV,12,German Coop,Germany,,,
Volksbank Vechta eG,Vechta,Lower Saxony,GVWE,12,German Coop,Germany,,,
VR-Bank Bonn eG,Bonn,North Rhine-Westphalia,RWGV,12,German Coop,Germany,,,
Volksbank Brilon eG,Brilon,North Rhine-Westphalia,RWGV,12,German Coop,Germany,,,
Volksbank Emmerich-Rees eG,Emmerich am Rhein,North Rhine-Westphalia,RWGV,12,German Coop,Germany,,,
Volksbank Grevenbrück eG,Lennestadt,North Rhine-Westphalia,RWGV,12,German Coop,Germany,,,
Raiffeisenbank östliche Südeifel eG,Dudeldorf,Rhineland-Palatinate,RWGV,12,German Coop,Germany,,,
Volksbank Glan-Münchweiler eG,Glan-Münchweiler,Rhineland-Palatinate,GV,12,German Coop,Germany,,,
Raiffeisenbank Grafschaft-Wachtberg eG,Grafschaft-Oeverich,Rhineland-Palatinate,RWGV,12,German Coop,Germany,,,
VR-Bank Pirmasens eG,Pirmasens,Rhineland-Palatinate,GV,12,German Coop,Germany,,,
Volksbank Eifel Mitte eG,Prüm,Rhineland-Palatinate,GV/RWGV,12,German Coop,Germany,,,
Raiffeisenbank Westeifel eG,Schönecken,Rhineland-Palatinate,RWGV,12,German Coop,Germany,,,
Volksbank Dillingen eG,Dillingen,Saarland,GV,12,German Coop,Germany,,,
Volksbank Elsterland eG,Jessen,Saxony-Anhalt,GV,12,German Coop,Germany,,,
Volksbank Eutin Raiffeisenbank eG,Eutin,Schleswig-Holstein,GV,12,German Coop,Germany,,,
Volksbank Ostholstein Nord eG,Lensahn,Schleswig-Holstein,GV,12,German Coop,Germany,,,
Schleswiger Volksbank eG,Schleswig,Schleswig-Holstein,GV,12,German Coop,Germany,,,
Erfurter Bank eG,Erfurt,Thuringia,GV,12,German Coop,Germany,,,
Geraer Bank eG,Gera,Thuringia,GV,12,German Coop,Germany,,,
Creglinger Bank eG,Creglingen,Baden-Württemberg,BWGV,11,German Coop,Germany,,,
Volksbank Friedrichshafen eG,Friedrichshafen,Baden-Württemberg,BWGV,11,German Coop,Germany,,,
Volksbank Laichingen eG,Laichingen,Baden-Württemberg,BWGV,11,German Coop,Germany,,,
Raiffeisenbank Donau-Heuberg eG,Mühlheim,Baden-Württemberg,BWGV,11,German Coop,Germany,,,
VR Bank im Enzkreis eG,Niefern-Öschelbronn,Baden-Württemberg,BWGV,11,German Coop,Germany,,,
Raiffeisenbank Rottumtal eG,Ochsenhausen,Baden-Württemberg,BWGV,11,German Coop,Germany,,,
Volksbank Nordschwarzwald eG,Pfalzgrafenweiler,Baden-Württemberg,BWGV,11,German Coop,Germany,,,
Volksbank Kirnau eG,Rosenberg,Baden-Württemberg,BWGV,11,German Coop,Germany,,,
Volksbank Hegau eG,Singen,Baden-Württemberg,BWGV,11,German Coop,Germany,,,
Enztalbank eG,Vaihingen,Baden-Württemberg,BWGV,11,German Coop,Germany,,,
Volksbank Kinzigtal eG,Wolfach,Baden-Württemberg,BWGV,11,German Coop,Germany,,,
Raiffeisenbank Tölzer Land eG,Bad Tölz,Bavaria,GVB,11,German Coop,Germany,,,
Raiffeisenbank Erding eG,Erding,Bavaria,GVB,11,German Coop,Germany,,,
Raiffeisenbank Altdorf-Ergolding eG,Ergolding,Bavaria,GVB,11,German Coop,Germany,,,
Raiffeisenbank Estenfeld-Bergtheim eG,Estenfeld,Bavaria,GVB,11,German Coop,Germany,,,
Raiffeisen-Volksbank Ebersberg eG,Grafing,Bavaria,GVB,11,German Coop,Germany,,,
Raiffeisen-Volksbank Isen-Sempt eG,Isen,Bavaria,GVB,11,German Coop,Germany,,,
Raiffeisenbank Neustadt-Vohenstrauß eG,Moosbach (Oberpfalz),Bavaria,GVB,11,German Coop,Germany,,,
Raiffeisenbank im Landkreis Passau-Nord eG,Tiefenbach (bei Passau),Bavaria,GVB,11,German Coop,Germany,,,
Spreewaldbank eG Volksbank-Raiffeisenbank,Lübben,Brandenburg,GV,11,German Coop,Germany,,,
Raiffeisenbank Ostprignitz-Ruppin eG,Neuruppin,Brandenburg,GV,11,German Coop,Germany,,,
Volksbank Rathenow eG,Rathenow,Brandenburg,GV,11,German Coop,Germany,,,
Raiffeisenbank Calden eG,Calden,Hesse,GV,11,German Coop,Germany,,,
Volksbank Kreis Bergstraße eG,Lampertheim,Hesse,GV,11,German Coop,Germany,,,
Raiffeisenbank Büchen eG,Hagenow,Mecklenburg-Vorpommern,GV,11,German Coop,Germany,,,
Volksbank Bramgau eG im Osnabrücker Land,Bramsche,Lower Saxony,GVWE,11,German Coop,Germany,,,
Raiffeisen-Volksbank Delmenhorst-Schierbrok eG,Delmenhorst,Lower Saxony,GVWE,11,German Coop,Germany,,,
Volksbank eG Dransfeld Groß Schneen Hann. Münde,Dransfeld,Lower Saxony,GV,11,German Coop,Germany,,,
Volksbank GMHütte-Hagen-Bissendorf eG,Georgsmarienhütte,Lower Saxony,GVWE,11,German Coop,Germany,,,
Volksbank Helmstedt eG,Helmstedt,Lower Saxony,GV,11,German Coop,Germany,,,
Volksbank Beckum eG,Beckum,North Rhine-Westphalia,RWGV,11,German Coop,Germany,,,
Volksbank Reiste-Eslohe eG,Eslohe,North Rhine-Westphalia,RWGV,11,German Coop,Germany,,,
Volksbank Petershagen eG,Petershagen,North Rhine-Westphalia,RWGV,11,German Coop,Germany,,,
Credit- und Volksbank Wuppertal eG,Wuppertal,North Rhine-Westphalia,RWGV,11,German Coop,Germany,,,
Raiffeisenbank Kaisersesch-Kaifenheim eG,Kaisersesch,Rhineland-Palatinate,RWGV,11,German Coop,Germany,,,
Vereinigte Raiffeisenbank Burgstädt eG,Burgstädt,Saxony,GV,11,German Coop,Germany,,,
Volksbank-Raiffeisenbank Döbeln eG,Döbeln,Saxony,GV,11,German Coop,Germany,,,
Freiberger Bank eG Volks- und Raiffeisenbank,Freiberg (Sachsen),Saxony,GV,11,German Coop,Germany,,,
Volksbank Stendal eG,Stendal,Saxony-Anhalt,GV,11,German Coop,Germany,,,
Volksbank und Raiffeisenbank Eisenach eG,Eisenach,Thuringia,GV,11,German Coop,Germany,,,
VR-Bank Altenburger Land eG,Schmölln,Thuringia,GV,11,German Coop,Germany,,,
Raiffeisenbank Illertal eG,Erolzheim,Baden-Württemberg,BWGV,10,German Coop,Germany,,,
Volksbank Hohenneuffen eG,Frickenhausen,Baden-Württemberg,BWGV,10,German Coop,Germany,,,
Volksbank Müllheim eG,Müllheim,Baden-Württemberg,BWGV,10,German Coop,Germany,,,
Volksbank Sulmtal eG,Obersulm,Baden-Württemberg,BWGV,10,German Coop,Germany,,,
Volksbank Plochingen eG,Plochingen,Baden-Württemberg,BWGV,10,German Coop,Germany,,,
VR-Bank Schopfheim eG,Schopfheim,Baden-Württemberg,BWGV,10,German Coop,Germany,,,
Volksbank Zuffenhausen eG,Stuttgart,Baden-Württemberg,BWGV,10,German Coop,Germany,,,
RV - Bank eG Alzenau,Alzenau,Bavaria,GVB,10,German Coop,Germany,,,
Volksbank-Raiffeisenbank Dingolfing eG,Dingolfing,Bavaria,GVB,10,German Coop,Germany,,,
VR-Bank Landshut eG,Landshut,Bavaria,GVB,10,German Coop,Germany,,,
Raiffeisenbank Stauden eG,Langenneufnach,Bavaria,GVB,10,German Coop,Germany,,,
VR-Bank Burghausen-Mühldorf eG,Mühldorf am Inn,Bavaria,GVB,10,German Coop,Germany,,,
Raiffeisenbank Pfaffenhausen eG,Pfaffenhausen,Bavaria,GVB,10,German Coop,Germany,,,
Raiffeisenbank Kirchweihtal eG,Pforzen,Bavaria,GVB,10,German Coop,Germany,,,
Raiffeisenbank Füssen-Pfronten-Nesselwang eG,Pfronten-Ried,Bavaria,GVB,10,German Coop,Germany,,,
Raiffeisenbank Rain am Lech eG,Rain,Bavaria,GVB,10,German Coop,Germany,,,
Volksbank Regensburg eG,Regensburg,Bavaria,GVB,10,German Coop,Germany,,,
Raiffeisenbank Pfeffenhausen-Rottenburg eG,Rottenburg an der Laaber,Bavaria,GVB,10,German Coop,Germany,,,
Raiffeisenbank Rupertiwinkel eG,Teisendorf,Bavaria,GVB,10,German Coop,Germany,,,
Raiffeisenbank Heilsbronn-Windsbach eG,Windsbach,Bavaria,GVB,10,German Coop,Germany,,,
Volksbank Mainspitze eG,Ginsheim-Gustavsburg,Hesse,GV,10,German Coop,Germany,,,
VR-Bank Chattengau eG,Gudensberg,Hesse,GV,10,German Coop,Germany,,,
Volksbank Lauterbach-Schlitz eG,Lauterbach (Hessen),Hesse,GV,10,German Coop,Germany,,,
Rüsselsheimer Volksbank eG,Rüsselsheim,Hesse,GV,10,German Coop,Germany,,,
Volksbank Verden eG,Verden,Lower Saxony,GV,10,German Coop,Germany,,,
Volksbank Rhein-Wupper eG,Leverkusen,North Rhine-Westphalia,RWGV,10,German Coop,Germany,,,
Vereinigte Volksbank Telgte eG,Telgte,North Rhine-Westphalia,RWGV,10,German Coop,Germany,,,
Volksbank Ahlen-Sassenberg-Warendorf eG,Warendorf,North Rhine-Westphalia,RWGV,10,German Coop,Germany,,,
Volksbank Wenden-Drolshagen eG,Wenden,North Rhine-Westphalia,RWGV,10,German Coop,Germany,,,
VR-Bank Mainz eG,Gonsenheim,Rhineland-Palatinate,GV,10,German Coop,Germany,,,
Volksbank Hochwald-Saarburg eG,Saarburg,Rhineland-Palatinate,RWGV,10,German Coop,Germany,,,
Volksbank Delitzsch eG,Delitzsch,Saxony,GV,10,German Coop,Germany,,,
Volksbank Mittweida eG,Mittweida,Saxony,GV,10,German Coop,Germany,,,
Raiffeisenbank Leezen eG,Leezen,Schleswig-Holstein,GV,10,German Coop,Germany,,,
Volksbank Lübeck – Landbank von 1902 eG,Lübeck,Schleswig-Holstein,GV,10,German Coop,Germany,,,
Raiffeisenbank im Kreis Plön eG,Lütjenburg,Schleswig-Holstein,GV,10,German Coop,Germany,,,
Volksbank Freiberg und Umgebung eG,Freiberg,Baden-Württemberg,BWGV,9,German Coop,Germany,,,
VR Bank Steinlach-Wiesaz-Härten eG,Gomaringen,Baden-Württemberg,BWGV,9,German Coop,Germany,,,
Raiffeisenbank Mutlangen eG,Mutlangen,Baden-Württemberg,BWGV,9,German Coop,Germany,,,
Volksbank Neckar-Bergstraße eG,Schriesheim,Baden-Württemberg,BWGV,9,German Coop,Germany,,,
Raiffeisenbank Eberhardzell-Ummendorf eG,Ummendorf,Baden-Württemberg,BWGV,9,German Coop,Germany,,,
Volksbank Weinheim eG,Weinheim,Baden-Württemberg,BWGV,9,German Coop,Germany,,,
Volksbank-Raiffeisenbank Amberg eG,Amberg,Bavaria,GVB,9,German Coop,Germany,,,
Raiffeisenbank Auerbach-Freihung eG,Auerbach in der Oberpfalz,Bavaria,GVB,9,German Coop,Germany,,,
Raiffeisen-Volksbank Bad Staffelstein eG,Bad Staffelstein,Bavaria,GVB,9,German Coop,Germany,,,
Raiffeisen-Volksbank Dillingen eG,Dillingen an der Donau,Bavaria,GVB,9,German Coop,Germany,,,
Raiffeisenbank Hemau-Kallmünz eG,Hemau,Bavaria,GVB,9,German Coop,Germany,,,
Raiffeisenbank Hengersberg-Schöllnach eG,Hengersberg,Bavaria,GVB,9,German Coop,Germany,,,
Raiffeisenbank Donaumooser Land eG,Karlshuld,Bavaria,GVB,9,German Coop,Germany,,,
