Name,Location,Federal state,Organisation,Branches,Categ,Country,,,
Volksbank Bruchsal-Bretten eG,Bruchsal,Baden-Württemberg,BWGV,35,German Coop,Germany,,,
Volksbank Ludwigsburg eG,Ludwigsburg,Baden-Württemberg,BWGV,35,German Coop,Germany,,,
Raiffeisen-Volksbank Donauwörth eG,Donauwörth,Bavaria,GVB,35,German Coop,Germany,,,
Raiffeisenbank Ingolstadt-Pfaffenhofen-Eichstätt eG,Ingolstadt,Bavaria,GVB,35,German Coop,Germany,,,
Kasseler Bank eG,Kassel,Hesse,GV,35,German Coop,Germany,,,
VR-Bank Westmünsterland eG,Coesfeld,North Rhine-Westphalia,RWGV,35,German Coop,Germany,,,
Mainzer Volksbank eG,Mainz,Rhineland-Palatinate,GV,35,German Coop,Germany,,,
Volksbank Rottweil eG,Rottweil,Baden-Württemberg,BWGV,34,German Coop,Germany,,,
Volksbank Raiffeisenbank Bad Kissingen-Bad Brückenau eG,Bad Kissingen,Bavaria,GVB,34,German Coop,Germany,,,
VR-Bank Rottal-Inn eG,Pfarrkirchen,Bavaria,GVB,34,German Coop,Germany,,,
Volksbank Saaletal eG,Rudolstadt,Thuringia,GV,34,German Coop,Germany,,,
Volksbank Raiffeisenbank Mangfalltal-Rosenheim eG,Rosenheim,Bavaria,GVB,33,German Coop,Germany,,,
Volksbank Hameln-Stadthagen eG,Hameln,Lower Saxony,GV,33,German Coop,Germany,,,
Volksbank Dudweiler eG,Saarbrücken,Saarland,GV,33,German Coop,Germany,,,
Nordthüringer Volksbank eG,Nordhausen,Thuringia,GV,33,German Coop,Germany,,,
VR Bank München Land eG,Deisenhofen,Bavaria,GVB,32,German Coop,Germany,,,
VR Bank HessenLand eG,Alsfeld,Hesse,GV,32,German Coop,Germany,,,
Volksbank Neckartal eG,Eberbach,Baden-Württemberg,BWGV,31,German Coop,Germany,,,
Volksbank Raiffeisenbank OberBayern Südost eG,Bad Reichenhall,Bavaria,GVB,31,German Coop,Germany,,,
Raiffeisen-Volksbank Miltenberg eG,Miltenberg,Bavaria,GVB,31,German Coop,Germany,,,
VR Bank Biedenkopf-Gladenbach eG,Biedenkopf,Hesse,GV,31,German Coop,Germany,,,
VR Genossenschaftsbank Fulda eG,Fulda,Hesse,GV,31,German Coop,Germany,,,
Volksbank Bonn Rhein-Sieg eG,Bonn,North Rhine-Westphalia,RWGV,31,German Coop,Germany,,,
Ehinger Volksbank eG,Ehingen,Baden-Württemberg,BWGV,30,German Coop,Germany,,,
Volksbank Baden-Baden-Rastatt eG,Rastatt,Baden-Württemberg,BWGV,30,German Coop,Germany,,,
Volksbank Kraichgau eG,Sinsheim,Baden-Württemberg,BWGV,30,German Coop,Germany,,,
Volksbank Villingen eG,Villingen-Schwenningen,Baden-Württemberg,BWGV,30,German Coop,Germany,,,
Volksbank Pattensen eG,Pattensen,Lower Saxony,GV,30,German Coop,Germany,,,
Volksbank Sauerland eG,Arnsberg,North Rhine-Westphalia,RWGV,30,German Coop,Germany,,,
Volksbank Siegerland eG,Siegen,North Rhine-Westphalia,RWGV,30,German Coop,Germany,,,
VR-Bank Würselen eG,Würselen,North Rhine-Westphalia,RWGV,30,German Coop,Germany,,,
Volksbank Raiffeisenbank Itzehoe eG,Itzehoe,Schleswig-Holstein,GV,30,German Coop,Germany,,,
Volksbank Hohenzollern eG,Hechingen,Baden-Württemberg,BWGV,29,German Coop,Germany,,,
Raiffeisen-Volksbank in den Landkreisen Altötting-Mühldorf eG,Altötting,Bavaria,GVB,29,German Coop,Germany,,,
VR-Bank Hof eG,Hof (Saale),Bavaria,GVB,29,German Coop,Germany,,,
Frankfurter Volksbank eG,Frankfurt a.M.,Hesse,GV,29,German Coop,Germany,,,
Volksbank Nordheide eG,Buchholz,Lower Saxony,GV,29,German Coop,Germany,,,
Volksbank Südheide eG,Celle,Lower Saxony,GV,29,German Coop,Germany,,,
Volksbank Kaiserslautern- Nordwestpfalz eG,Kaiserslautern,Rhineland-Palatinate,GV,29,German Coop,Germany,,,
